text,label
@user But I do think we need to experience a bit madness &amp; despair too. This is the stuff that makes us human.,2
Love takes off the masks that we fear we cannot live without and know we cannot live within. - James A. Baldwin,2
"@user promised I wouldn't live tweet, but  @user + @user brought it! @user and #furious action FTW!",0
"@user @user #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",2
@user @user @user the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,0
Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim,0
Heart heavy for lost furry family members. Remembering Max and Ozzie. Forever friends as 🐶😇,3
not only was that the worst @user that's I've attended but worth one of the worst cons I've been to in the last 5 years,0
“What worries you masters you.” - Haddon Robinson @user #Jesusisthesubject   #anxious,2
@user @user lol @ ur caste. even if the whole village dies.. a massali like you cant be a chaudhry:) so cheer up massali :),1
"@user @user @user Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them",0
"@user if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat",3
#internationaldayofpeace : When white supremacists terrorize everyone of differing cultures online and will continue it offline tomorrow.,0
Please stop your merriment. It is very annoying,0
@user Oh and I play it capo 2nd fret in a G position RS,1
@user didn't even realise you used that insult it was that shit mate,0
@user all the optimism...,2
Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 #nightmare,3
That's how you start a season that's how you open the show #show #them #how #dark #hell #can #get #Empire,2
"Jesus wept! Another RNS from #rusty @user quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is",3
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the,0
Isn't the whole 'it's been hijacked' argument the same argument used to ban or discourage the display of the St George's Cross? Shame @user,0
Penny dreadful 3 temporada,3
"@user So I worry about emphasis on 'keeping family together' as a guiding principle, due to my own experiences",2
Circle K is dead to me. I hate your new slushie machine.  #livid,0
Flight 815 crashed on The Lost Island 2004 #lost @user,3
"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake",1
The #pessimist complains about the wind; the #optimist expects it to change; the realist adjusts the sails.' - William Arthur Ward\n#IGNITE,2
"@user today which can impact the signal, I'm afraid :-( Our engineers are working to have this resolved by this evening and you'll",2
"@user Forget the hair, that salon looks so light &amp; cheery! Would go there for a coffee &amp; read a book!",1
Shanghais chief distracting levity pampa - proper dingle carry away: uUDQujcia,3
7 pax enjoyed the #gloom @user @user,1
"Lord Jesus, I don’t want to be in prison. I want to be free. Entice my heart with the beauty of Your truth &amp; allow me to rejoice in it. Amen",2
There are adults commiting serious crimes in the name of protest.(like burning a library) how are we just expecting them to get a warning?,0
"@user @user @user not to worry, he'll flip Wisconsin",2
Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.',1
Some Erykah Badu to sedate me 💕,1
Breaking out in hives for the first time since college finals. #anxiety sucks,3
@user ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! #nervous,1
Forgot to bring extra boxers to the Y so Im currently commando at Starbucks. This is exhilarating. I feel more liberated than Angelina Jolie,1
im so tired but i still have thisbhuge history test in a few minutes i cant afford to get freaked out now oh god if i have an anxiety attack,3
#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,0
@user Aye. There's a brief window in both morning and afternoon otherwise just horrific until late evening.,0
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,0
@user that nigga is horrible bro,0
@user The @user had a good one but then the reporter quit. #sad,3
"@user We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",1
@user Same it's good but not great.Don't Breathe is the horror film of the month for me. My Fav horror film of the year (so far),1
"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",0
@user @user only if YOU will pay for them and YOU will be responsible for them and their doings. #sober #real #blind,1
@user @user @user @user @user terrorist attack and terrorism already exists in the history of islam.,0
"From what I know of the man, I have to assume that @user has had a heated argument with his own penis. #sad",3
@user why? Do you have depression?,3
Why a puerto Rican with Taino hair and a black nose gotta ruffle your targeted feathers?,0
not near my kitchen so unfortunately I cannot do a cooking snap series 🍳,3
and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers,0
@user I'm sure you'll have a heyday if they do,2
Wow what a thought!  #JudgeLynnToler 'I can't have the specter of this morning's problem haunt my afternoon.' Well written! That 1 sentence,1
@user ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.,0
Getting ready to open the tastings at Whisky Shop Dufftown Autumn festival! #panic #murraymcdavid #whisky #drams,1
3:45am and off to the hospital! Elouise's waters have gone!  #Labour #LittleSister #superexcited,1
"@user I agree. Btw, have u seen Ep22, Granger, O?  That was the episode when I knew Anna was coming back, the conversation at start.",2
You have to find a way to top yourself.,2
